Number,Species,mean_sur,std_sur
10,AA,0.085,0.665466218
11,AA,0.096,0.751585375
12,AA,1.802,14.10788382
2,AA,0.055,0.430595788
1,AA,0,0
3,AA,0,0
4,AA,0,0
5,AA,0,0
6,AA,0,0
7,AA,0,0
8,AA,0,0
9,AA,0,0
13,AA,0,0
15,AA,0,0
Control 27,AA,9.5,74.37563611
Control 4,AA,12.773,100
1,AT,21.8455,108.1978174
10,AT,38.692,191.6362616
11,AT,31.693,156.9711578
12,AT,54.331,269.0941209
13,AT,40.241,199.3082498
2,AT,26.499,131.2459758
3,AT,22.3425,110.6593915
4,AT,2.9705,14.71248617
5,AT,36.443,180.4972677
6,AT,11.616,57.53248254
7,AT,36.583,181.1906688
9,AT,35.095,173.8208053
8,AT,0,0
14,AT,0,0
15,AT,0,0
Control 27,AT,8.546,42.32718628
Control 4,AT,20.19033333,100