Strip,Diapause ,Species,Location/Tire,Egg Count,H1,H2,H3,Total Larvae
1,Y,AA,4,218,0,0,0,0
2,Y,AA,Test Hatch,280,,,,
3,Y,AA,9,167,0,0,0,0
4,Y,AA,11,310,0,0,0,0
5,Y,AA,2,252,0,0,0,0
6,Y,AA,12,299,0,6,0,6
7,Y,AA,7,236,0,0,0,0
8,Y,AA,13,307,0,0,0,0
9,Y,AA,Control 27,400,28,6,4,38
10,Y,AA,16,376,1,26,43,70
11,Y,AA,Control 4,257,0,26,10,36
12,Y,AA,5,192,0,0,0,0
14,Y,AA,Control 4,946,1,76,69,146
15,Y,AA,3,877,0,0,0,0
16,Y,AA,10,1181,0,1,0,1
17,Y,AA,6,1126,0,0,0,0
18,Y,AA,1,1244,0,0,0,0
19,Y,AA,17,969,0,17,0,17
20,Y,AA,15,1384,0,0,0,0
21,Y,AA,15,1156,0,0,0,0
22,Y,AA,8,287,0,0,0,0
23,Y,AA,8,1174,0,0,0,0
24,Y,AA,14,1162,0,0,0,0
25,Y,AA,14,1449,0,0,0,0
26,Y,AA,18,1348,83,677,165,925
27,Y,AA,11,1044,0,0,1,1
28,Y,AA,12,1565,0,23,2,25
29,Y,AA,Control 4,1791,0,23,136,159
30,Y,AA,4,1116,0,0,0,0
31,Y,AA,2,1814,0,1,0,1
32,Y,AA,9,1011,0,0,0,0
33,Y,AA,7,1843,0,0,0,0
34,Y,AA,6,1280,0,0,0,0
35,Y,AA,3,1717,0,0,0,0
36,Y,AA,1,1029,0,0,0,0
37,Y,AA,5,1643,0,0,0,0
38,Y,AA,13,742,0,0,0,0
39,Y,AA,10,557,0,0,0,0
40,Y,AT,Test Hatch,388,,,,
41,Y,AT,15,442,0,28,1,29
42,Y,AT,6,534,0,2,0,2
43,Y,AT,4,440,0,0,1,1
44,Y,AT,18,696,0,18,13,31
45,Y,AT,1,1245,0,36,0,36
46,Y,AT,10,917,0,64,113,177
47,Y,AT,7,364,0,42,0,42
48,Y,AT,Control 4,493,0,12,8,20
49,Y,AT,2,488,4,42,4,50
50,Y,AT,8,966,0,106,2,108
62,Y,AT,4,1330,0,3,73,76
63,Y,AT,Test Hatch,1307,,,,
64,Y,AT,1,1402,49,390,133,572
65,Y,AT,7,1978,123,1041,55,1219
66,Y,AT,10,1627,160,643,142,945
67,Y,AT,13,1279,5,972,48,1025
68,Y,AT,Control 4,1850,82,221,30,333
69,Y,AT,16,1415,32,212,19,263
70,Y,AT,Control 27,667,0,16,41,57
71,Y,AT,2,545,4,192,37,233
72,Y,AT,14,515,38,224,0,262
73,Y,AT,5,461,0,111,57,168
74,Y,AT,3,736,8,228,92,328
75,Y,AT,8,805,1,428,1,430
76,Y,AT,11,631,8,387,4,399
77,Y,AT,15,313,0,100,31,131
78,Y,AT,Control 4,148,3,54,0,57
79,Y,AT,17,242,1,48,15,64
80,Y,AT,6,560,0,127,1,128
81,Y,AT,12,762,7,378,29,414
82,Y,AT,9,946,0,85,247,332
83,Y,AT,Test Hatch,612,,,,
84,Y,AT,Test Hatch,720,,,,
85,Y,AT,14,440,0,1,0,1
86,Y,AT,9,539,0,0,0,0
87,Y,AT,12,394,0,0,0,0
88,Y,AT,5,766,0,0,0,0
89,Y,AT,11,653,0,1,0,1
90,Y,AT,13,881,0,3,0,3
91,Y,AT,3,835,0,0,1,1
95,N,AT,Control 27,346,0,1,0,1
96,N,AT,3,463,0,0,0,0
97,N,AT,6,370,0,0,0,0
98,N,AT,4,625,0,0,0,0
99,N,AT,5,563,0,0,0,0
100,N,AT,8,358,0,0,0,0
101,N,AT,9,687,0,0,0,0
102,N,AT,12,909,0,0,0,0
103,N,AT,14,741,0,0,0,0
104,N,AT,15,799,0,0,0,0
105,N,AT,Control 4,817,0,0,0,0
106,N,AT,Test Hatch,636,,,,
107,N,AT,Control 4,797,0,0,0,0
108,N,AT,16,1326,0,0,0,0
109,N,AT,17,928,0,0,11,11
110,N,AT,18,1486,0,44,73,117
111,N,AT,Control 4,1262,0,0,6,6
112,N,AT,13,999,0,0,5,5
113,N,AT,11,932,0,1,4,5
114,N,AT,10,865,0,0,3,3
115,N,AT,7,1501,0,2,5,7
116,N,AT,2,1727,0,1,2,3
117,N,AT,1,1416,0,0,0,0
118,N,AT,Test Hatch,,,,,
120,N,AA,5,,0,0,0,0
121,N,AA,18,,723,95,325,1143
122,N,AA,1,,0,0,0,0
123,N,AA,10,,0,0,0,0
124,N,AA,7,,0,0,0,0
125,N,AA,3,,0,0,0,0
126,N,AA,14,,0,0,0,0
127,N,AA,Control 4,,0,5,5,10
128,N,AA,8,,0,0,0,0
129,N,AA,6,,0,0,0,0
130,N,AA,17,,0,11,12,23
131,N,AA,Control 27,,121,0,0,121
132,N,AA,Control 4,,0,0,0,0
133,N,AA,Test Hatch,,,,,
134,N,AA,Control 4,,1,48,58,107
135,N,AA,12,,0,0,0,0
137,N,AA,4,,0,0,0,0
138,N,AA,Test Hatch,,,,,
139,N,AA,11,,0,0,0,0
140,N,AA,2,,0,0,0,0
141,N,AA,13,,0,0,0,0
142,N,AA,16,,1,18,139,158
143,N,AA,9,,0,0,0,0
144,N,AA,15,,0,0,0,0